Symbol,Chart Pattern,BullishBearish,Start,End,Industry
LEG,"Double Bottom, Adam and Adam",1,03/18/2020,03/23/2020,Furn/Home Furnishings
LXU,Pipe bottom,1,03/09/2020,03/16/2020,Building Materials
MHO,"Flag, high and tight",1,03/19/2020,03/26/2020,Homebuilding
MDT,"Double Bottom, Adam and Adam",1,03/18/2020,03/23/2020,Medical Supplies
NBL,"Flag, high and tight",1,03/18/2020,03/26/2020,Petroleum (Producing)
OUT,"Flag, high and tight",1,03/23/2020,03/26/2020,Advertising
PATK,"Flag, high and tight",1,03/19/2020,03/26/2020,Retail Building Supply
PNW,"Double Bottom, Adam and Adam",1,03/18/2020,03/23/2020,Electric Utility (West)
POL,"Flag, high and tight",1,03/18/2020,03/26/2020,Chemical (Specialty)
PRU,"Double Bottom, Adam and Adam",1,03/17/2020,03/23/2020,Insurance (Life)
SRE,"Double Bottom, Adam and Adam",1,03/16/2020,03/23/2020,Electric Utility (West)
TPR,"Double Bottom, Adam and Adam",1,03/17/2020,03/23/2020,Apparel
TFX,"Double Bottom, Adam and Adam",1,03/19/2020,03/23/2020,Diversified Co.
TPX,"Flag, high and tight",1,03/19/2020,03/26/2020,Furn/Home Furnishings
SLCA,"Flag, high and tight",1,03/18/2020,03/26/2020,Metals and Mining (Div.)
ALK,Dead-cat bounce,-1,03/12/2020,03/12/2020,Air Transport
AA,Dead-cat bounce,-1,03/06/2020,03/12/2020,Aerospace/Defense
ALKS,Broadening bottom,1,01/27/2020,03/11/2020,Drug
AEL,Dead-cat bounce,-1,03/12/2020,03/12/2020,Insurance (Life)
AIG,Dead-cat bounce,-1,03/12/2020,03/12/2020,Insurance (Prop/Casualty)
AMWD,Dead-cat bounce,-1,03/11/2020,03/12/2020,Building Materials
APA,Dead-cat bounce,-1,03/06/2020,03/11/2020,Petroleum (Producing)
APOG,Dead-cat bounce,-1,03/11/2020,03/12/2020,Building Materials
AWI,Pipe top,-1,02/24/2020,03/02/2020,Building Materials
ASNA,Dead-cat bounce,-1,03/11/2020,03/12/2020,Apparel
AVA,"Double Top, Eve and Adam",-1,02/19/2020,03/06/2020,Electric Utility (West)
BECN,Dead-cat bounce,-1,03/11/2020,03/12/2020,Retail Building Supply
BIG,Dead-cat bounce,-1,03/11/2020,03/12/2020,Retail Store
BOOT,Dead-cat bounce,-1,03/09/2020,03/09/2020,Shoe
BLDR,Dead-cat bounce,-1,03/12/2020,03/12/2020,Retail Building Supply
CLS,Dead-cat bounce,-1,03/12/2020,03/12/2020,Electronics
CNP,Dead-cat bounce,-1,03/06/2020,03/09/2020,Electric Utility (Central)
CLNE,Dead-cat bounce,-1,03/10/2020,03/12/2020,Natural Gas (Distributor)
CONN,Dead-cat bounce,-1,03/12/2020,03/12/2020,Retail (Special Lines)
COP,Dead-cat bounce,-1,03/05/2020,03/09/2020,Petroleum (Integrated)
DVN,Dead-cat bounce,-1,03/05/2020,03/09/2020,Natural Gas (Diversified)
DO,Dead-cat bounce,-1,03/04/2020,03/09/2020,Oilfield Svcs/Equipment
DRQ,Dead-cat bounce,-1,03/06/2020,03/09/2020,Oilfield Svcs/Equipment
BOOM,Dead-cat bounce,-1,03/06/2020,03/09/2020,Metal Fabricating
EMN,Dead-cat bounce,-1,03/11/2020,03/12/2020,Chemical (Diversified)
EOG,Dead-cat bounce,-1,03/06/2020,03/09/2020,Natural Gas (Distributor)
EPAM,Dead-cat bounce,-1,03/12/2020,03/12/2020,IT Services
FFG,Dead-cat bounce,-1,03/12/2020,03/12/2020,Insurance (Life)
FLS,Dead-cat bounce,-1,03/11/2020,03/12/2020,Machinery
GPRO,Dead-cat bounce,-1,03/12/2020,03/12/2020,Electronics
GFF,Dead-cat bounce,-1,03/12/2020,03/12/2020,Building Materials
GES,Dead-cat bounce,-1,03/11/2020,03/12/2020,Apparel
HHS,Dead-cat bounce,-1,03/09/2020,03/09/2020,Advertising
HP,Dead-cat bounce,-1,03/06/2020,03/09/2020,Petroleum (Producing)
DHI,Dead-cat bounce,-1,03/12/2020,03/12/2020,Homebuilding
HOV,Dead-cat bounce,-1,03/06/2020,03/12/2020,Homebuilding
IIIN,Dead-cat bounce,-1,03/12/2020,03/12/2020,Building Materials
TILE,Dead-cat bounce,-1,03/12/2020,03/12/2020,Furn/Home Furnishings
IPI,Dead-cat bounce,-1,03/06/2020,03/12/2020,Chemical (Diversified)
NVTA,Dead-cat bounce,-1,03/12/2020,03/12/2020,Medical Services
JCP,Dead-cat bounce,-1,03/11/2020,03/12/2020,Retail Store
KELYA,Dead-cat bounce,-1,03/12/2020,03/12/2020,Human Resources
LB,"Broadening wedge, descending",1,02/07/2020,03/11/2020,Apparel
M,Dead-cat bounce,-1,03/10/2020,03/12/2020,Retail Store
MRO,Dead-cat bounce,-1,03/06/2020,03/09/2020,Petroleum (Integrated)
MTRX,Dead-cat bounce,-1,03/06/2020,03/09/2020,Oilfield Svcs/Equipment
MDC,Dead-cat bounce,-1,03/12/2020,03/12/2020,Homebuilding
MUR,Dead-cat bounce,-1,03/05/2020,03/11/2020,Petroleum (Integrated)
NOV,Dead-cat bounce,-1,03/04/2020,03/12/2020,Oilfield Svcs/Equipment
NE,Dead-cat bounce,-1,03/05/2020,03/12/2020,Oilfield Svcs/Equipment
NBL,Dead-cat bounce,-1,03/06/2020,03/11/2020,Petroleum (Producing)
JWN,Dead-cat bounce,-1,03/10/2020,03/12/2020,Retail Store
OXY,Dead-cat bounce,-1,03/06/2020,03/09/2020,Petroleum (Producing)
PDCO,Pipe top,-1,02/24/2020,03/02/2020,Medical Supplies
PTEN,Dead-cat bounce,-1,03/06/2020,03/11/2020,Oilfield Svcs/Equipment
PCG,Dead-cat bounce,-1,03/12/2020,03/12/2020,Electric Utility (West)
REV,Dead-cat bounce,-1,03/12/2020,03/12/2020,Toiletries/Cosmetics
RES,Dead-cat bounce,-1,03/05/2020,03/09/2020,Oilfield Svcs/Equipment
SLB,Dead-cat bounce,-1,03/05/2020,03/09/2020,Oilfield Svcs/Equipment
SXI,Dead-cat bounce,-1,03/11/2020,03/12/2020,Diversified Co.
SUM,Dead-cat bounce,-1,03/09/2020,03/09/2020,Cement and Aggregates
TLRD,Dead-cat bounce,-1,03/10/2020,03/12/2020,Retail (Special Lines)
TFX,"Double Top, Adam and Adam",-1,03/03/2020,03/10/2020,Diversified Co.
TEVA,Dead-cat bounce,-1,03/06/2020,03/09/2020,Drug
RIG,Dead-cat bounce,-1,03/05/2020,03/09/2020,Oilfield Svcs/Equipment
TZOO,Dead-cat bounce,-1,03/12/2020,03/12/2020,Internet
SLCA,Dead-cat bounce,-1,03/06/2020,03/09/2020,Metals and Mining (Div.)
UNM,Dead-cat bounce,-1,03/12/2020,03/12/2020,Insurance (Diversified)
VAL,Dead-cat bounce,-1,03/05/2020,03/11/2020,Oilfield Svcs/Equipment
VLO,Dead-cat bounce,-1,03/11/2020,03/12/2020,Petroleum (Integrated)
WLK,Dead-cat bounce,-1,03/09/2020,03/09/2020,Chemical (Basic)
WEX,Dead-cat bounce,-1,03/06/2020,03/09/2020,Information Services
WMB,Dead-cat bounce,-1,03/05/2020,03/09/2020,Natural Gas (Distributor)
ALRM,"Broadening top, right-angled and ascending",-1,02/07/2020,03/05/2020,Computer Software and Svcs
BIG,Dead-cat bounce,-1,02/27/2020,02/28/2020,Retail Store
CIEN,V bottoms,0,02/21/2020,03/05/2020,Telecom. Equipment
CMTL,Dead-cat bounce,-1,03/05/2020,03/05/2020,Telecom. Equipment
CY,Dead-cat bounce,-1,03/05/2020,03/05/2020,Semiconductor
EFX,V bottoms,0,02/21/2020,03/04/2020,Information Services
FDS,V bottoms,0,02/25/2020,03/04/2020,Information Services
GNW,"Double Bottom, Eve and Adam",1,02/05/2020,02/28/2020,Insurance (Life)
JKHY,V bottoms,0,02/21/2020,03/04/2020,IT Services
NBR,Dead-cat bounce,-1,03/03/2020,03/05/2020,Oilfield Svcs/Equipment
OMI,Dead-cat bounce,-1,03/03/2020,03/05/2020,Medical Supplies
ROG,Pipe bottom,1,02/18/2020,02/24/2020,Electronics
VRTX,Broadening top,-1,01/09/2020,02/28/2020,Biotechnology
ATSG,"Triangle, symmetrical",1,03/25/2020,04/23/2020,Air Transport
AA,Diamond top,-1,04/07/2020,04/21/2020,Aerospace/Defense
AFG,Pipe top,-1,04/06/2020,04/13/2020,Insurance (Prop/Casualty)
AXE,"Triangle, symmetrical",1,03/26/2020,04/23/2020,Electronics
APA,"Flag, high and tight",1,03/18/2020,04/23/2020,Petroleum (Producing)
AXS,Pipe top,-1,04/06/2020,04/13/2020,Insurance (Prop/Casualty)
BBW,"Flag, high and tight",1,04/03/2020,04/23/2020,Retail (Special Lines)
BLDR,"Triangle, symmetrical",1,03/16/2020,04/23/2020,Retail Building Supply
^DJI,Diamond top,-1,04/09/2020,04/23/2020,None
DRQ,"Triangle, symmetrical",1,03/16/2020,04/20/2020,Oilfield Svcs/Equipment
EIGI,"Flag, high and tight",1,03/20/2020,04/23/2020,E-Commerce
RE,Pipe top,-1,04/06/2020,04/13/2020,Insurance (Prop/Casualty)
EVH,"Flag, high and tight",1,03/18/2020,04/23/2020,Healthcare Information
FCX,Diamond top,-1,04/08/2020,04/23/2020,Metals and Mining (Div.)
HON,Pipe top,-1,04/06/2020,04/13/2020,Aerospace/Defense
IPAR,"Triangle, symmetrical",1,03/26/2020,04/22/2020,Toiletries/Cosmetics
IBKR,"Double Top, Eve and Adam",-1,04/07/2020,04/17/2020,Securities Brokerage
LOW,Diamond top,-1,04/09/2020,04/23/2020,Retail Building Supply
MTSI,Broadening top,-1,04/09/2020,04/23/2020,Semiconductor
M,Pipe top,-1,04/06/2020,04/13/2020,Retail Store
MTRN,"Flag, high and tight",1,03/19/2020,04/23/2020,Metals and Mining (Div.)
MUR,"Flag, high and tight",1,03/18/2020,04/23/2020,Petroleum (Integrated)
PTEN,Head-and-shoulders bottom,1,03/11/2020,04/20/2020,Oilfield Svcs/Equipment
^GSPC,Diamond top,-1,04/14/2020,04/23/2020,None
SWN,"Flag, high and tight",1,03/09/2020,04/23/2020,Natural Gas (Diversified)
VFC,"Triangle, symmetrical",1,03/23/2020,04/23/2020,Apparel
WRB,Pipe top,-1,04/06/2020,04/13/2020,Insurance (Prop/Casualty)
AXDX,"Flag, high and tight",1,03/20/2020,04/16/2020,Medical Services
ADTN,"Flag, high and tight",1,03/18/2020,04/16/2020,Telecom. Equipment
BIG,"Flag, high and tight",1,03/16/2020,04/16/2020,Retail Store
DECK,"Flag, high and tight",1,03/18/2020,04/16/2020,Shoe
DO,Dead-cat bounce,-1,04/16/2020,04/16/2020,Oilfield Svcs/Equipment
EQT,"Flag, high and tight",1,02/27/2020,04/16/2020,Natural Gas (Diversified)
FIS,Diamond top,-1,03/25/2020,04/16/2020,Computer Software and Svcs
GILD,Diamond top,-1,02/24/2020,04/16/2020,Biotechnology
NSP,"Flag, high and tight",1,03/18/2020,04/16/2020,Human Resources
NXGN,"Flag, high and tight",1,03/16/2020,04/15/2020,Healthcare Information
NUS,"Flag, high and tight",1,03/18/2020,04/16/2020,Toiletries/Cosmetics
PRFT,Flag,1,04/09/2020,04/16/2020,IT Services
PCG,"Flag, high and tight",1,03/18/2020,04/16/2020,Electric Utility (West)
WMB,"Flag, high and tight",1,03/19/2020,04/16/2020,Natural Gas (Distributor)
WSM,"Flag, high and tight",1,03/18/2020,04/16/2020,Retail (Special Lines)
DVN,"Flag, high and tight",1,03/18/2020,04/02/2020,Natural Gas (Diversified)
GPRO,"Triangle, symmetrical",1,03/20/2020,04/01/2020,Electronics
MRK,"Broadening wedge, descending",1,02/04/2020,03/31/2020,Drug
OLN,"Triangle, symmetrical",1,03/19/2020,04/01/2020,Chemical (Basic)
OMCL,"Double Bottom, Adam and Adam",1,03/20/2020,03/27/2020,Healthcare Information
PKE,Pipe bottom,1,03/16/2020,03/23/2020,Chemical (Specialty)
SAIA,Diamond bottom,1,03/09/2020,03/31/2020,Trucking/Transp. Leasing
